
================================================================================
model=minimax_m3 route=balanced ep=16 kind=sonic_custom device=5
global_experts=128 local_experts=8 global_tokens=4096,8192,16384,32768 local_tokens=4096,8192,16384,32768
output=artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep16/balanced/sonic_custom
command: CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=5 python sm90-fp8-wgrad/scripts/sweep_seq_lens.py --tokens-list 4096\,8192\,16384\,32768 --experts 8 --top-k 4 --hidden 6144 --intermediate 3072 --route balanced --seed 1234 --warmup-iters 500 --active-iters 5000 --repeat 3 --custom-layout-mode padded --custom-tuned-config default --deepseek-diff-gate 0.001 --output-dir artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep16/balanced/sonic_custom --results-json artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep16/balanced/sonic_custom/results.json --include-sonic --include-custom --no-include-deepgemm --isolate-cases
# Wgrad Sequence-Length Sweep

created_at: `2026-06-29T16:59:43.992626+00:00`
deepseek_diff_gate: `0.001`
results_json: `artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/minimax_m3/ep16/balanced/sonic_custom/results.json`

| tokens | case | status | total ms | speed vs Sonic | total valid TFLOP/s | max DeepSeek calc_diff |
| ---: | --- | --- | ---: | ---: | ---: | ---: |
| 4096 | Sonic BF16 | ok | 6.261136 | 1.0000x | 296.340 | 7.034395e-09 |
| 4096 | Custom CuTe FP8 BF16-out | ok | 3.837815 | 1.6314x | 483.459 | 2.425695e-07 |
| 8192 | Sonic BF16 | ok | 11.356238 | 1.0000x | 326.768 | 1.287670e-08 |
| 8192 | Custom CuTe FP8 BF16-out | ok | 7.391908 | 1.5363x | 502.015 | 2.408287e-07 |
| 16384 | Sonic BF16 | ok | 22.727733 | 1.0000x | 326.548 | 2.855193e-08 |
| 16384 | Custom CuTe FP8 BF16-out | ok | 15.523640 | 1.4641x | 478.090 | 2.409688e-07 |
| 32768 | Sonic BF16 | ok | 45.724004 | 1.0000x | 324.631 | 5.298851e-08 |
| 32768 | Custom CuTe FP8 BF16-out | ok | 29.599846 | 1.5447x | 501.469 | 2.406872e-07 |

