
================================================================================
model=deepseek_v3 route=skewed ep=8 kind=sonic_custom device=4
global_experts=256 local_experts=32 global_tokens=4096,8192,16384,32768 local_tokens=4096,8192,16384,32768
output=artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep8/skewed/sonic_custom
command: CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=4 python sm90-fp8-wgrad/scripts/sweep_seq_lens.py --tokens-list 4096\,8192\,16384\,32768 --experts 32 --top-k 8 --hidden 7168 --intermediate 2048 --route skewed --seed 1234 --warmup-iters 500 --active-iters 5000 --repeat 3 --custom-layout-mode padded --custom-tuned-config default --deepseek-diff-gate 0.001 --output-dir artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep8/skewed/sonic_custom --results-json artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep8/skewed/sonic_custom/results.json --include-sonic --include-custom --no-include-deepgemm --isolate-cases
# Wgrad Sequence-Length Sweep

created_at: `2026-06-29T13:58:11.785737+00:00`
deepseek_diff_gate: `0.001`
results_json: `artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep8/skewed/sonic_custom/results.json`

| tokens | case | status | total ms | speed vs Sonic | total valid TFLOP/s | max DeepSeek calc_diff |
| ---: | --- | --- | ---: | ---: | ---: | ---: |
| 4096 | Sonic BF16 | ok | 11.745910 | 1.0000x | 245.721 | 1.144604e-08 |
| 4096 | Custom CuTe FP8 BF16-out | ok | 7.038461 | 1.6688x | 410.064 | 2.412291e-07 |
| 8192 | Sonic BF16 | ok | 22.116386 | 1.0000x | 261.003 | 2.826910e-08 |
| 8192 | Custom CuTe FP8 BF16-out | ok | 12.896214 | 1.7150x | 447.607 | 2.476105e-07 |
| 16384 | Sonic BF16 | ok | 40.606828 | 1.0000x | 284.309 | 5.158041e-08 |
| 16384 | Custom CuTe FP8 BF16-out | ok | 25.270247 | 1.6069x | 456.856 | 2.523211e-07 |
| 32768 | Sonic BF16 | ok | 93.983281 | 1.0000x | 245.679 | 1.049916e-07 |
| 32768 | Custom CuTe FP8 BF16-out | ok | 51.329789 | 1.8310x | 449.831 | 2.354726e-07 |

