
================================================================================
model=qwen3_30b route=skewed ep=1 kind=sonic_custom device=4
global_experts=128 local_experts=128 global_tokens=4096,8192,16384,32768 local_tokens=4096,8192,16384,32768
output=artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom
command: CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=4 python sm90-fp8-wgrad/scripts/sweep_seq_lens.py --tokens-list 4096\,8192\,16384\,32768 --experts 128 --top-k 8 --hidden 2048 --intermediate 768 --route skewed --seed 1234 --warmup-iters 500 --active-iters 5000 --repeat 3 --custom-layout-mode padded --custom-tuned-config default --deepseek-diff-gate 0.001 --output-dir artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom --results-json artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json --include-sonic --include-custom --no-include-deepgemm --isolate-cases
# Wgrad Sequence-Length Sweep

created_at: `2026-06-29T10:23:57.828047+00:00`
deepseek_diff_gate: `0.001`
results_json: `artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep1/skewed/sonic_custom/results.json`

| tokens | case | status | total ms | speed vs Sonic | total valid TFLOP/s | max DeepSeek calc_diff |
| ---: | --- | --- | ---: | ---: | ---: | ---: |
| 4096 | Sonic BF16 | ok | 1.366708 | 1.0000x | 226.265 | 3.920869e-09 |
| 4096 | Custom CuTe FP8 BF16-out | ok | 1.333550 | 1.0249x | 231.891 | 2.253006e-07 |
| 8192 | Sonic BF16 | ok | 2.317434 | 1.0000x | 266.879 | 1.520341e-08 |
| 8192 | Custom CuTe FP8 BF16-out | ok | 2.033837 | 1.1394x | 304.093 | 2.333746e-07 |
| 16384 | Sonic BF16 | ok | 4.430348 | 1.0000x | 279.199 | 4.613472e-08 |
| 16384 | Custom CuTe FP8 BF16-out | ok | 3.518085 | 1.2593x | 351.598 | 2.443418e-07 |
| 32768 | Sonic BF16 | ok | 9.992668 | 1.0000x | 247.572 | 6.836113e-08 |
| 32768 | Custom CuTe FP8 BF16-out | ok | 6.530552 | 1.5301x | 378.820 | 2.498421e-07 |

