
================================================================================
model=deepseek_v3 route=balanced ep=8 kind=sonic_custom device=5
global_experts=256 local_experts=32 global_tokens=4096,8192,16384,32768 local_tokens=4096,8192,16384,32768
output=artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep8/balanced/sonic_custom
command: CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=5 python sm90-fp8-wgrad/scripts/sweep_seq_lens.py --tokens-list 4096\,8192\,16384\,32768 --experts 32 --top-k 8 --hidden 7168 --intermediate 2048 --route balanced --seed 1234 --warmup-iters 500 --active-iters 5000 --repeat 3 --custom-layout-mode padded --custom-tuned-config default --deepseek-diff-gate 0.001 --output-dir artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep8/balanced/sonic_custom --results-json artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep8/balanced/sonic_custom/results.json --include-sonic --include-custom --no-include-deepgemm --isolate-cases
# Wgrad Sequence-Length Sweep

created_at: `2026-06-29T13:14:24.831648+00:00`
deepseek_diff_gate: `0.001`
results_json: `artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/deepseek_v3/ep8/balanced/sonic_custom/results.json`

| tokens | case | status | total ms | speed vs Sonic | total valid TFLOP/s | max DeepSeek calc_diff |
| ---: | --- | --- | ---: | ---: | ---: | ---: |
| 4096 | Sonic BF16 | ok | 10.340885 | 1.0000x | 279.107 | 1.866879e-09 |
| 4096 | Custom CuTe FP8 BF16-out | ok | 6.473869 | 1.5973x | 445.826 | 2.390905e-07 |
| 8192 | Sonic BF16 | ok | 19.590820 | 1.0000x | 294.650 | 6.785924e-09 |
| 8192 | Custom CuTe FP8 BF16-out | ok | 11.963453 | 1.6376x | 482.506 | 2.395447e-07 |
| 16384 | Sonic BF16 | ok | 35.946868 | 1.0000x | 321.165 | 1.258683e-08 |
| 16384 | Custom CuTe FP8 BF16-out | ok | 23.170634 | 1.5514x | 498.254 | 2.411174e-07 |
| 32768 | Sonic BF16 | ok | 73.492213 | 1.0000x | 314.179 | 2.398026e-08 |
| 32768 | Custom CuTe FP8 BF16-out | ok | 47.790110 | 1.5378x | 483.149 | 2.394115e-07 |

